Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長,stock,ethnic_group
COF,Capital One Financial Corporati,123034394624,financial-services,credit-services,11.043503,0.01463986,8.342236,-0.057329208,-0.032690022,0.0401,0.18120001,-0.0949,0.24129999,,
COHR,Coherent Corp.,60784373760,technology,scientific-technical-instruments,75.33739,0.0,22.241714,0.046112053,0.093887046,0.6785,0.482,0.6886,0.6993,,
COIN,"Coinbase Global, Inc.",53049692160,financial-services,financial-data-stock-exchanges,0.0,0.0,70.98626,0.20041227,0.06436904,-1.4554,2.3991,-1.1473,1.0411,,
COO,"The Cooper Companies, Inc.",10513686528,healthcare,medical-instruments-supplies,19.0,0.0,11.779494,-0.20576318,-0.23668809,0.0994,0.036199998,-0.025999999,-0.047,,
COP,ConocoPhillips,150491545600,energy,oil-gas-e-p,16.570105,0.025876265,13.024902,-0.005092516,0.088623695,0.71849996,-0.0874,0.6426,1.6557001,,
COR,"Cencora, Inc.",60001783808,healthcare,medical-distribution,23.325668,0.007425195,15.874947,-0.007748586,-0.016373282,0.1171,0.1082,0.1881,0.1262,,
COST,Costco Wholesale Corporation,398869266432,consumer-defensive,discount-stores,45.28751,0.0059767608,39.758114,-0.03928079,-0.06340669,0.1291,0.1024,0.111999996,0.0793,,
CPAY,"Corpay, Inc.",25800941568,technology,software-infrastructure,23.902067,0.0,12.495222,-0.008410141,0.1461956,0.28120002,0.148,0.261,0.22709998,,
CPB,The Campbell's Company,6026747904,consumer-defensive,packaged-foods,15.427481,0.07827395,11.010383,-0.098789796,-0.14463179,-0.2183,0.082100004,-0.4644,-0.18049999,,
CPRT,"Copart, Inc.",26658740224,industrials,specialty-business-services,18.57742,0.0,16.263767,-0.05423335,-0.15286145,,0.1187,-0.0311,0.0404,,
CPT,Camden Property Trust,11493401600,real-estate,reit-residential,32.775578,0.042703904,91.110085,-0.085165896,-0.07351173,0.7909,-0.5251,-0.5722,-0.45720002,,
CRH,CRH PLC,58571644928,basic-materials,building-materials,15.55477,0.017443195,13.556837,-0.08304659,-0.20074295,0.041199997,0.1242,-0.0017,0.0994,,
CRL,Charles River Laboratories Inte,13733100544,healthcare,diagnostics-research,0.0,0.0,22.430319,0.0782613,0.38779056,0.1022,0.121800005,0.2143,0.38439998,,
CRM,"Salesforce, Inc.",191989432320,technology,software-application,21.362637,0.00724135,14.575491,0.119443774,0.15728375,0.33830002,-0.0448,0.060399998,-0.066599995,,
CRWD,"CrowdStrike Holdings, Inc.",256045137920,technology,software-infrastructure,5001.1997,0.0,155.71234,0.20032099,0.69451356,0.347,0.2785,0.2959,0.2737,,
CSCO,"Cisco Systems, Inc.",419648962560,technology,communication-equipment,31.963966,0.014893235,18.933168,-0.058647905,0.104011945,0.1886,0.0923,0.3218,0.18290001,,
CSGP,"CoStar Group, Inc.",11657535488,real-estate,real-estate-services,159.83333,0.0,16.220057,-0.0552903,-0.31261706,0.56490004,0.3028,0.48369998,0.5277,,
CSX,CSX Corporation,86306807808,industrials,railroads,27.08721,0.011741683,20.510586,-0.069551036,0.0627208,0.2464,0.1321,0.2198,0.2764,,
CTAS,Cintas Corporation,79553708032,industrials,specialty-business-services,40.57143,0.009142624,32.484085,-0.015041893,0.05974302,0.1184,0.1106,0.1308,0.1163,,
CTSH,Cognizant Technology Solutions ,26432067584,technology,information-technology-services,12.592276,0.021892892,9.285236,0.042125482,-0.05421578,0.0864,0.1018,0.0529,0.1232,,
CTVA,"Corteva, Inc.",53602525184,basic-materials,agricultural-inputs,48.690907,0.009101252,19.480377,-0.03132228,0.027028851,0.1274,0.3032,-0.6677,0.4584,,
CVNA,Carvana Co.,72493531136,consumer-cyclical,auto-truck-dealerships,34.603176,0.0,28.911446,-0.05543195,-0.10447571,-0.0726,0.4559,1.1151999,-0.5573,,
CVS,CVS Health Corporation,111398313984,healthcare,healthcare-plans,22.98153,0.030365298,10.212587,-0.11678157,-0.0022120876,0.1916,0.060300004,0.0155,0.16440001,,
CVX,Chevron Corporation,397048152064,energy,oil-gas-integrated,19.481232,0.034271125,14.916255,0.015542495,0.099059545,1.2213,-0.162,1.5633999,1.702,,
D,"Dominion Energy, Inc.",54908805120,utilities,utilities-regulated-electric,21.602076,0.04250239,16.367655,-0.078551166,-0.028547633,0.0482,0.064,0.1314,-0.0163,,
DAL,"Delta Air Lines, Inc.",55187726336,industrials,airlines,13.917081,0.009430303,9.889148,-0.0041414876,0.11715559,0.07,0.3502,0.1821,0.2865,,
DASH,"DoorDash, Inc.",83284205568,consumer-cyclical,internet-retail,100.10938,0.0,23.601456,-0.064314045,0.02006545,0.2139,0.7343,0.4936,0.734,,
DD,"DuPont de Nemours, Inc.",17798664192,basic-materials,specialty-chemicals,56.32479,0.023345405,16.547894,-0.034003403,-0.039673947,0.4405,0.0971,-0.41959998,0.3483,,
DDOG,"Datadog, Inc.",88862089216,technology,software-application,505.05103,0.0,83.22768,0.016834725,0.37738192,0.23290001,0.1765,0.16440001,0.081999995,,
DE,Deere & Company,189579018240,industrials,farm-heavy-construction-machinery,39.04053,0.009463584,30.964096,0.11242077,0.2157496,-0.020299999,0.25190002,0.036199998,0.3639,,
DECK,Deckers Outdoor Corporation,10871397376,consumer-cyclical,footwear-accessories,11.3556185,0.0,9.588475,-0.13667053,-0.21917677,0.070199996,0.1116,-0.019,0.114300005,,
DELL,Dell Technologies Inc.,349010329600,technology,computer-hardware,31.913952,0.0040152264,18.852133,0.17909674,0.998385,1.5142999,0.0083,1.5317999,1.04,,
DG,Dollar General Corporation,27054235648,consumer-defensive,discount-stores,15.925974,0.019358542,14.84021,-0.014264784,-0.035064794,0.1541,0.056900002,0.1005,0.0547,,
DGX,Quest Diagnostics Incorporated,25911248896,healthcare,diagnostics-research,24.895014,0.01355766,19.4697,0.005905298,0.1522964,0.1362,0.0774,0.1013,0.107,,
DHI,"D.R. Horton, Inc.",40307752960,consumer-cyclical,residential-construction,13.737846,0.012567325,12.391432,-0.010374913,-0.034799725,-0.1003,0.107,-0.0087,0.0856,,
DHR,Danaher Corporation,155423178752,healthcare,diagnostics-research,39.40998,0.006671609,23.77754,0.08286895,0.09515442,0.0907,0.0929,0.0124,0.1591,,
DIS,Walt Disney Company (The),179264634880,communication-services,entertainment,21.406185,0.01439125,13.883521,0.009119222,-0.0020086125,0.16700001,0.0806,0.5163,0.1616,,
DLR,"Digital Realty Trust, Inc.",70113263616,real-estate,reit-specialty,90.560974,0.026190093,67.19048,-0.0109132575,0.030326167,1.0265,-0.1294,0.7061,0.32970002,,
DLTR,"Dollar Tree, Inc.",21584990208,consumer-defensive,discount-stores,14.09804,0.0,14.547625,-0.08721012,-0.022505578,0.3616,0.01,-0.2345,0.0255,,
DOC,"Healthpeak Properties, Inc.",14604313600,real-estate,reit-healthcare-facilities,58.857143,0.05888031,147.14285,-0.03206404,0.09943771,1.3077,0.5556,1.1374,-0.6862,,
DOV,Dover Corporation,25123248128,industrials,specialty-industrial-machinery,22.583534,0.011177387,16.04202,-0.075187735,-0.11295215,0.1103,0.08979999,0.0919,0.121199995,,
DOW,Dow Inc.,20370010112,basic-materials,chemicals,0.0,0.04952246,15.849109,-0.0671827,-0.11331206,3.5341,-0.253,4.5656,2.1182,,
DPZ,Domino's Pizza Inc,9829080064,consumer-cyclical,restaurants,16.843254,0.025207812,14.24389,-0.11405113,-0.17383155,0.0837,0.098400004,0.0779,0.213,,
DRI,"Darden Restaurants, Inc.",24245706752,consumer-cyclical,restaurants,20.454023,0.028394302,17.224787,0.013256669,0.05161034,0.060300004,0.098900005,0.042,0.1019,,
DTE,DTE Energy Company,26096324608,utilities,utilities-regulated-electric,19.843355,0.036351383,14.99291,-0.10057285,-0.112507515,0.047399998,0.0851,0.0684,0.2354,,
DUK,Duke Energy Corporation (Holdin,90687160320,utilities,utilities-regulated-electric,17.516565,0.03649135,16.218658,-0.05508164,-0.06272858,0.0635,0.0687,0.0121,0.025899999,,
DVA,DaVita Inc.,11721335808,healthcare,medical-care-facilities,15.569491,0.0,10.650201,-0.07940692,0.0975251,0.3771,0.162,0.42540002,0.29799998,,
DVN,Devon Energy Corporation,51623002112,energy,oil-gas-e-p,10.202174,0.02185333,8.762349,0.013094931,0.062745735,0.36130002,-0.0797,0.16209999,0.5976,,
DXCM,"DexCom, Inc.",33785108480,healthcare,medical-devices,35.387352,0.0,28.65822,0.06420657,0.24139029,0.2738,0.1734,0.1001,0.0788,,
EA,Electronic Arts Inc.,52925640704,communication-services,electronic-gaming-multimedia,59.743587,inf,21.720531,0.0,0.0,0.3732,0.27899998,1.0605,6.2543,,
EBAY,eBay Inc.,48629600256,consumer-cyclical,internet-retail,22.909853,0.011080332,16.27348,0.009630633,0.09314485,0.1102,0.0958,0.037,0.0403,,
ECL,Ecolab Inc.,77432365056,basic-materials,specialty-chemicals,37.07651,0.010519297,29.334145,-0.0051733055,0.011355317,0.0848,0.1528,0.0517,0.0673,,
ED,"Consolidated Edison, Inc.",38403006464,utilities,utilities-regulated-electric,17.078947,0.0334585,16.00027,-0.043874655,-0.03497211,0.0714,0.0627,0.066,0.17889999,,
EFX,"Equifax, Inc.",18771736576,industrials,consulting-services,28.080843,0.013365275,15.717962,-0.10344046,-0.139077,0.119399995,0.187,0.0907,0.0673,,
