Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長
SWKS,"Skyworks Solutions, Inc.",13352954880,technology,semiconductors,45.979275,0.03199639,17.881575,0.29322773,0.3689236,-0.1499,-0.0155,-0.2766,-0.144
SYF,Synchrony Financial,24402812928,financial-services,credit-services,7.6923075,0.015991472,7.198325,-0.025092773,-0.0019919754,-0.0062,0.113400005,-0.1766,0.062
SYK,Stryker Corporation,105171894272,healthcare,medical-devices,28.384058,0.012649026,16.391708,-0.14421421,-0.18002327,0.1001,0.116000004,0.121400006,0.15020001
SYY,Sysco Corporation,37612539904,consumer-defensive,food-distribution,21.42896,0.02745098,14.601217,-0.050424512,-0.015030119,0.1005,0.0588,0.0372,0.0956
T,AT&T Inc.,174393229312,communication-services,telecom-services,8.399341,0.04370079,9.907466,0.044179726,0.011992867,0.1027,0.0968,0.1176,0.0095999995
TAP,Molson Coors Beverage Company,7003210240,consumer-defensive,beverages-brewers,0.0,0.050626166,7.678297,-0.08259115,-0.14144054,-0.1248,0.0313,-0.1173,-0.1446
TDG,Transdigm Group Incorporated,61337595904,industrials,aerospace-defense,33.605392,0.0,22.946362,-0.0778865,-0.11835182,0.1038,0.1737,0.126,0.1699
TDY,Teledyne Technologies Incorpora,28234313728,technology,scientific-technical-instruments,29.424154,0.0,22.75503,-0.045825064,-0.015349593,0.1246,0.08229999,0.1042,0.0323
TECH,Bio-Techne Corp,11364618240,healthcare,biotechnology,62.47414,0.004421721,31.422216,0.0051959385,0.17908049,0.0458,0.1427,0.0255,0.0471
TEL,TE Connectivity plc,60800667648,technology,electronic-components,20.56905,0.014166099,16.263947,0.016049912,-0.024856178,0.3076,0.1273,0.2571,0.1033
TER,"Teradyne, Inc.",59650252800,technology,semiconductor-equipment-materials,52.40934,0.0013460037,32.743275,0.047453646,0.17450923,1.2958,0.28170002,1.4124,0.1187
TFC,Truist Financial Corporation,59859685376,financial-services,banks-regional,11.264368,0.042833604,9.84705,-0.0457123,-0.017240413,0.15630001,0.0732,0.074499995,0.0714
TGT,Target Corporation,71647141888,consumer-defensive,discount-stores,16.376947,0.028826095,16.518028,0.039527286,0.2551787,0.3527,-0.067600004,0.1504,0.0953
TJX,"TJX Companies, Inc. (The)",144052600832,consumer-cyclical,apparel-retail,24.296848,0.014225086,22.68287,-0.09862039,-0.14765662,0.0943,0.0872,0.0631,-0.0617
TKO,"TKO Group Holdings, Inc.",36173225984,communication-services,entertainment,66.82517,0.016432421,40.826614,0.015328697,-0.032437555,1.0591,0.0556,1.8476,34.7433
TMO,Thermo Fisher Scientific Inc,243574734848,healthcare,diagnostics-research,35.474422,0.002763067,23.917547,0.114843346,0.22461978,0.098900005,0.0955,0.1067,0.10560001
TMUS,"T-Mobile US, Inc.",177280450560,communication-services,telecom-services,17.30576,0.024259722,11.566459,-0.08797124,-0.1443444,0.1261,0.26950002,0.2039,0.4716
TPL,Texas Pacific Land Corporation,25299912704,energy,oil-gas-e-p,46.845467,0.006436612,5.016411,-0.03503446,-0.07082517,0.33470002,0.1099,0.3415,0.47529998
TPR,"Tapestry, Inc.",22545217536,consumer-cyclical,luxury-goods,15.552958,0.013913044,12.705165,-0.16727054,-0.18534474,0.1309,0.1162,0.1279,0.1273
TRGP,"Targa Resources, Inc.",62047756288,energy,oil-gas-midstream,27.663479,0.015400938,23.954454,0.028013071,0.18957196,0.2782,0.0507,0.168,0.100200005
TRMB,Trimble Inc.,13466135552,technology,scientific-technical-instruments,0.0,0.0,14.005432,0.011787511,-0.0958883,0.1723,0.1238,0.0618,0.1588
TROW,"T. Rowe Price Group, Inc.",22319237120,financial-services,asset-management,10.50502,0.049347155,10.137377,-0.07026964,0.0071844365,0.0523,0.0091,-0.049200002,0.0104
TRV,"The Travelers Companies, Inc.",77408452608,financial-services,insurance-property-casualty,9.976613,0.012145641,12.267657,0.0032243582,0.1737879,0.2343,-0.1121,-0.1607,-0.1353
TSCO,Tractor Supply Company,16845228032,consumer-cyclical,specialty-retail,16.838543,0.029183485,15.784977,-0.02595241,-0.21089172,-0.091000006,0.091000006,-0.168,-0.0626
TSLA,"Tesla, Inc.",1482265198592,consumer-cyclical,auto-manufacturers,344.3119,0.0,170.80518,0.071533754,-0.055434793,0.071,0.2359,-0.0912,-0.0125
TSN,"Tyson Foods, Inc.",18300715008,consumer-defensive,farm-products,32.11111,0.00947508,12.601927,-0.07997917,-0.13769953,-0.1005,0.113800004,-0.3142,0.0421
TT,Trane Technologies plc,95340445696,industrials,building-products-equipment,32.26508,0.009275012,24.72238,-0.057880793,-0.027001724,0.1692,0.1479,0.2166,0.2625
TTD,"The Trade Desk, Inc.",6562396160,communication-services,advertising-agencies,16.52381,0.0,13.751016,-0.11830471,-0.4192754,-0.3452,-0.1291,-0.4381,-0.5071
TTWO,"Take-Two Interactive Software, ",39250935808,communication-services,electronic-gaming-multimedia,0.0,0.0,20.396088,-0.098924324,-0.07373866,2.1373,1.8697,-0.2006,4.6463
TXN,Texas Instruments Incorporated,247371399168,technology,semiconductors,41.103184,0.021077106,25.446108,-0.011042262,0.11048085,0.5607,0.1875,0.632,0.7936
TXT,Textron Inc.,13657481216,industrials,aerospace-defense,14.954803,0.0010038901,10.933454,-0.074988686,-0.11752494,0.0585,0.1248,-0.020599999,0.087299995
TYL,"Tyler Technologies, Inc.",13614992384,technology,software-application,43.80237,0.0,21.656445,0.0013456614,-0.055780713,0.1582,0.172,0.1673,0.29610002
UAL,"United Airlines Holdings, Inc.",37127532544,industrials,airlines,10.710673,0.0,7.855323,-0.023714567,0.05123084,-0.0913,0.51240003,0.0395,0.1425
UBER,"Uber Technologies, Inc.",144694951936,technology,software-application,15.535088,0.0,16.07924,-0.038458988,-0.06385643,-0.3151,0.4111,-0.6981,6.4244
UDR,"UDR, Inc.",12449973248,real-estate,reit-residential,21.449366,0.051032446,60.517857,-0.10159957,-0.08604869,-0.081199996,,0.1447,-0.7907
UHS,"Universal Health Services, Inc.",10298566656,healthcare,medical-care-facilities,7.129335,0.004527704,7.281016,0.044201408,-0.0469094,0.0392,0.0623,-0.0848,-0.0274
ULTA,"Ulta Beauty, Inc.",23852683264,consumer-cyclical,specialty-retail,20.300583,0.0,17.389906,0.071616136,0.0009420267,0.1292,0.10479999,0.088199995,0.132
UNH,UnitedHealth Group Incorporated,338895896576,healthcare,healthcare-plans,24.249197,0.02374635,16.698666,-0.06620094,0.06558994,0.2151,0.1381,0.42099997,-0.0034
UNP,Union Pacific Corporation,160180584448,industrials,railroads,21.832388,0.019758742,19.030539,-0.08473349,0.02571629,0.119399995,0.085200004,0.1178,0.14770001
UPS,"United Parcel Service, Inc.",80611557376,industrials,integrated-freight-logistics,17.611525,0.06622249,11.741672,-0.10654846,-0.09912779,0.0062,0.1201,-0.0639,0.1525
URI,"United Rentals, Inc.",64104787968,industrials,rental-leasing-services,24.77556,0.0074168323,17.974075,-0.037598442,0.099857315,0.1718,0.1626,0.1883,0.186
USB,U.S. Bancorp,94168629248,financial-services,banks-regional,12.063871,0.03463203,10.446211,-0.04142612,0.05406072,0.13350001,0.104899995,0.0797,0.1009
V,Visa Inc.,694527590400,financial-services,credit-services,31.485107,0.007276874,24.656265,0.007817356,0.10123374,0.1533,0.13430001,0.1507,0.1445
VEEV,Veeva Systems Inc.,42308399104,healthcare,health-information-services,42.908043,0.0,25.492067,0.11611798,0.3119216,0.1402,0.1099,0.1486,0.1201
VICI,VICI Properties Inc.,26480912384,real-estate,reit-diversified,9.321706,0.075885326,8.043478,-0.076023474,-0.13080254,0.05,0.087299995,0.0094,0.2893
VLO,Valero Energy Corporation,113233223680,energy,oil-gas-refining-marketing,16.40676,0.011275648,10.535979,0.16468951,0.576234,3.3575,-0.1926,3.9805999,2.0799
VLTO,Veralto Corp,23204249600,industrials,pollution-treatment-controls,23.974812,0.0052915653,19.953962,-0.007249019,0.02106438,0.1285,0.0838,0.0983,0.0858
VMC,Vulcan Materials Company (Holdi,31902283776,basic-materials,building-materials,29.03302,0.008387659,23.138641,-0.099752,-0.14087504,0.1424,0.16430001,0.0584,0.33240002
VRSK,"Verisk Analytics, Inc.",22389438464,industrials,consulting-services,26.423964,0.010831765,19.776142,-0.09128557,-0.10666943,0.0764,0.1286,0.12060001,0.0857
VRSN,"VeriSign, Inc.",27859470336,technology,software-infrastructure,33.461452,0.010424915,27.85498,0.08014778,0.16861139,0.0875,0.1338,0.0639,0.1022
VRT,"Vertiv Holdings, LLC",96578134016,industrials,electrical-equipment-parts,56.884357,0.00070171215,27.499462,-0.07585943,-0.039170306,0.6035,0.3545,0.474,0.62740004
VRTX,Vertex Pharmaceuticals Incorpor,129447567360,healthcare,biotechnology,29.72759,0.0,25.41806,0.00024403524,0.086282104,-0.1292,0.2565,-1.3619,-0.0929
VST,Vistra Corp.,47250722816,utilities,utilities-independent-power-producers,23.700336,0.0064796354,13.581449,-0.045271922,-0.100062005,3.3454,0.0959,0.47869998,4.8122
VTR,"Ventas, Inc.",44641722368,real-estate,reit-healthcare-facilities,158.23636,0.023070712,110.16455,-0.058548886,0.016958043,-0.0248,0.79550004,-0.0907,0.0515
VTRS,Viatris Inc.,19640903680,healthcare,drug-manufacturers-specialty-generic,0.0,0.028318582,6.4270735,0.017203216,0.1400836,0.0704,0.0577,-0.0332,0.026500002
VZ,Verizon Communications Inc.,198099681280,communication-services,telecom-services,12.416667,0.05812019,9.027994,0.00026433045,0.033723943,0.0672,0.0504,0.060599998,0.053000003
WAB,Westinghouse Air Brake Technolo,47865958400,industrials,railroads,38.139977,0.003996717,22.751377,-0.010456927,0.099561654,0.21139999,0.1462,0.17790002,0.2577
WAT,Waters Corporation,41622949888,healthcare,diagnostics-research,107.05051,0.0,25.619627,0.06377694,0.1722842,0.11,0.1353,0.1757,0.0319
WBD,"Warner Bros. Discovery, Inc. - ",77219807232,communication-services,entertainment,0.0,0.0,440.0,0.12523745,0.11982281,-4.8682003,0.9921,0.9533,0.6414
WDAY,"Workday, Inc.",46252720128,technology,software-application,39.167347,0.0,14.503159,0.089884855,0.2089845,0.2005,0.19319999,0.18270001,0.1929
WDC,Western Digital Corporation,161583628288,technology,computer-hardware,16.648218,0.0011328621,14.1158,-0.06962343,0.16144568,0.96589994,0.5803,1.271,1.1932
WEC,"WEC Energy Group, Inc.",33718894592,utilities,utilities-regulated-electric,20.093204,0.035766214,17.24983,-0.051087905,-0.071509354,0.16370001,0.0731,0.12550001,0.3964
WELL,Welltower Inc.,167720337408,real-estate,reit-healthcare-facilities,104.84684,0.013413728,73.19496,-0.020190582,0.096088775,,0.1042,0.1439,0.19459999
WFC,Wells Fargo & Company,261696897024,financial-services,banks-diversified,12.578488,0.020901067,10.951714,-0.0075118844,0.016058022,0.1681,0.088599995,0.1122,0.1489
WM,"Waste Management, Inc.",82757033984,industrials,waste-management,29.284298,0.016769303,22.71077,-0.08347775,-0.08063434,0.083500005,0.12189999,0.105100006,0.087799996
WMB,"Williams Companies, Inc. (The)",87639949312,energy,oil-gas-midstream,28.545818,0.028452462,27.589632,-0.018963538,0.012967084,0.1585,0.0675,0.057600003,0.1597
WMT,Walmart Inc.,855016013824,consumer-defensive,discount-stores,38.927536,0.009041506,33.263676,-0.022451568,-0.09486747,0.0933,0.1191,0.0247,0.060599998
WRB,W.R. Berkley Corporation,25536741376,financial-services,insurance-property-casualty,14.154321,0.005294034,14.210138,-0.029675344,-0.002298054,0.12560001,-0.0068,0.0185,0.0683
WSM,"Williams-Sonoma, Inc.",26754717696,consumer-cyclical,specialty-retail,23.298462,0.012667261,21.605232,-0.021185227,0.10033887,0.114300005,0.066599995,0.120799996,0.08140001
WST,"West Pharmaceutical Services, I",25460541440,healthcare,medical-instruments-supplies,46.20434,0.0024012586,36.262856,0.035911907,0.2162389,0.22940001,0.113199994,0.1188,0.11359999
WTW,Willis Towers Watson Public Lim,28494968832,financial-services,insurance-brokers,18.998144,0.006064907,13.425427,-0.049199734,0.022268936,0.1625,0.15100001,0.1735,0.1361
WY,Weyerhaeuser Company,15142663168,real-estate,reit-specialty,31.833332,0.039585296,31.243494,-0.11907757,-0.13468052,0.6415,1.0483999,0.4993,1.0804
WYNN,"Wynn Resorts, Limited",8579784192,consumer-cyclical,resorts-casinos,19.980814,0.012242899,16.171293,-0.13274458,-0.20982051,0.122200005,0.0654,0.0641,0.0497
XEL,Xcel Energy Inc.,44879974400,utilities,utilities-regulated-electric,19.68493,0.032157674,15.824876,-0.07432219,-0.08304768,0.0829,0.1033,0.0552,0.0468
XOM,ExxonMobil Holdings Corporation,650915676160,energy,oil-gas-integrated,20.37323,0.024948025,14.67008,0.0032639313,0.07758552,0.68050003,-0.08140001,0.9465,0.7911
XYL,Xylem Inc.,25039126528,industrials,specialty-industrial-machinery,25.59427,0.015433246,17.170734,-0.07221401,-0.12651098,0.115100004,0.1026,0.0618,0.1618
XYZ,"Block, Inc.",46807941120,technology,software-infrastructure,139.125,0.0,15.021229,-0.031817842,0.12122584,0.708,0.28129998,0.898,0.78199995
YUM,"Yum! Brands, Inc.",38023307264,consumer-cyclical,restaurants,17.569988,0.010580476,19.914528,-0.06839064,-0.0977088,0.056399997,0.0946,-0.063,0.0429
ZBH,"Zimmer Biomet Holdings, Inc.",17990379520,healthcare,medical-devices,22.893204,0.010067114,10.402261,-0.018422302,0.031449817,0.040700004,0.0625,-0.0093,0.03
ZBRA,Zebra Technologies Corporation,16598471680,technology,communication-equipment,32.128204,0.0,15.803846,0.064024,0.339254,0.32810003,0.0553,0.26209998,0.1981
ZTS,Zoetis Inc.,29475241984,healthcare,drug-manufacturers-specialty-generic,11.636215,0.028851539,10.921022,-0.05290104,-0.29228488,-0.0318,0.052399997,-0.113000005,-0.122200005
